,symbol,open_time,open,high,low,close,volume_coin,close_time,volume,num_of_trades,buy_volume_coin,buy_volume,ignore,date
95,BTCUSDT,1606354500000,18795.58,18824.81,18795.57,18807.27,129.612,1606354559999,2438265.83108,689,66.760,1255725.05140,0,1970-01-01 00:00:01.606354500
96,BTCUSDT,1606354560000,18807.27,18835.69,18802.99,18831.01,99.505,1606354619999,1872653.65085,696,49.143,924869.70128,0,1970-01-01 00:00:01.606354560
97,BTCUSDT,1606354620000,18831.41,18836.16,18816.24,18825.78,139.558,1606354679999,2627182.72179,609,57.520,1082829.87031,0,1970-01-01 00:00:01.606354620
98,BTCUSDT,1606354680000,18825.77,18827.56,18815.64,18827.56,34.217,1606354739999,644002.74447,344,16.419,309039.21282,0,1970-01-01 00:00:01.606354680
99,BTCUSDT,1606354740000,18827.55,18840.9,18827.35,18838.07,119.555,1606354799999,2251856.83866,589,80.693,1519867.27736,0,1970-01-01 00:00:01.606354740
100,BTCUSDT,1606354800000,18838.06,18838.06,18816.6,18830.01,105.154,1606354859999,1979795.08141,581,47.053,885894.77950,0,1970-01-01 00:00:01.606354800
101,BTCUSDT,1606354860000,18830.01,18830.58,18816.22,18830.57,90.844,1606354919999,1709934.75248,458,38.556,725664.15769,0,1970-01-01 00:00:01.606354860
102,BTCUSDT,1606354920000,18830.57,18840.9,18821.94,18840.0,66.392,1606354979999,1250459.20593,437,33.720,635059.90312,0,1970-01-01 00:00:01.606354920
103,BTCUSDT,1606354980000,18839.99,18845.1,18838.0,18842.0,65.591,1606355039999,1235849.12146,425,52.345,986265.79483,0,1970-01-01 00:00:01.606354980
104,BTCUSDT,1606355040000,18842.0,18865.94,18841.79,18859.0,219.864,1606355099999,4145769.58373,952,143.596,2707527.67210,0,1970-01-01 00:00:01.606355040
105,BTCUSDT,1606355100000,18859.0,18860.01,18828.75,18829.02,184.665,1606355159999,3479506.88009,761,44.020,829417.19783,0,1970-01-01 00:00:01.606355100
106,BTCUSDT,1606355160000,18828.76,18837.88,18817.11,18828.92,118.212,1606355219999,2225144.79789,667,42.834,806249.83618,0,1970-01-01 00:00:01.606355160
107,BTCUSDT,1606355220000,18828.92,18828.92,18812.35,18812.49,103.349,1606355279999,1945041.90466,579,37.359,703100.45926,0,1970-01-01 00:00:01.606355220
108,BTCUSDT,1606355280000,18812.48,18812.49,18794.7,18794.7,129.846,1606355339999,2441637.42101,768,30.869,580464.85589,0,1970-01-01 00:00:01.606355280
109,BTCUSDT,1606355340000,18794.7,18797.25,18777.56,18778.18,235.020,1606355399999,4415190.63126,797,82.032,1540796.50988,0,1970-01-01 00:00:01.606355340
110,BTCUSDT,1606355400000,18778.18,18804.61,18766.5,18804.61,197.139,1606355459999,3702650.42797,962,107.242,2014566.68263,0,1970-01-01 00:00:01.606355400
111,BTCUSDT,1606355460000,18804.6,18813.68,18800.69,18809.12,132.052,1606355519999,2483513.98424,703,71.546,1345526.02376,0,1970-01-01 00:00:01.606355460
112,BTCUSDT,1606355520000,18808.39,18810.0,18801.25,18807.98,77.340,1606355579999,1454470.4336,377,14.891,280037.19831,0,1970-01-01 00:00:01.606355520
113,BTCUSDT,1606355580000,18807.97,18809.99,18792.62,18794.76,89.591,1606355639999,1684264.55898,473,25.540,480135.06098,0,1970-01-01 00:00:01.606355580
114,BTCUSDT,1606355640000,18794.75,18794.75,18773.35,18775.79,154.717,1606355699999,2906303.24121,644,61.652,1158080.90222,0,1970-01-01 00:00:01.606355640
115,BTCUSDT,1606355700000,18775.79,18820.0,18775.79,18807.01,317.769,1606355759999,5975447.1608,1224,229.563,4316874.40454,0,1970-01-01 00:00:01.606355700
116,BTCUSDT,1606355760000,18807.02,18843.26,18800.0,18843.25,203.616,1606355819999,3833518.44556,932,136.559,2571063.72630,0,1970-01-01 00:00:01.606355760
117,BTCUSDT,1606355820000,18843.26,18843.74,18825.33,18830.62,142.460,1606355879999,2682793.0364,685,43.648,821990.54985,0,1970-01-01 00:00:01.606355820
118,BTCUSDT,1606355880000,18830.61,18834.07,18824.5,18829.99,49.101,1606355939999,924558.97578,414,24.899,468848.16639,0,1970-01-01 00:00:01.606355880
119,BTCUSDT,1606355940000,18830.0,18836.93,18807.48,18817.81,94.959,1606355999999,1787288.83104,557,17.003,320050.22410,0,1970-01-01 00:00:01.606355940
120,BTCUSDT,1606356000000,18817.8,18825.37,18793.3,18798.32,280.985,1606356059999,5283866.63727,896,67.343,1266542.01288,0,1970-01-01 00:00:01.606356000
121,BTCUSDT,1606356060000,18797.74,18805.55,18793.3,18794.11,92.756,1606356119999,1743512.98672,488,49.267,926065.91861,0,1970-01-01 00:00:01.606356060
122,BTCUSDT,1606356120000,18794.11,18794.11,18754.86,18759.39,355.882,1606356179999,6680146.75196,1685,101.509,1905464.53699,0,1970-01-01 00:00:01.606356120
123,BTCUSDT,1606356180000,18757.27,18771.61,18726.0,18726.62,755.194,1606356239999,14155551.10108,2417,345.435,6474875.66846,0,1970-01-01 00:00:01.606356180
124,BTCUSDT,1606356240000,18726.02,18756.37,18719.68,18727.31,485.148,1606356299999,9088916.16739,1974,273.818,5130448.11091,0,1970-01-01 00:00:01.606356240
125,BTCUSDT,1606356300000,18727.31,18740.7,18717.39,18721.7,270.885,1606356359999,5072987.81956,1300,140.285,2627281.60784,0,1970-01-01 00:00:01.606356300
126,BTCUSDT,1606356360000,18721.71,18737.76,18706.0,18715.14,374.874,1606356419999,7017998.23718,1377,116.104,2174210.32982,0,1970-01-01 00:00:01.606356360
127,BTCUSDT,1606356420000,18715.14,18738.32,18713.15,18717.99,132.734,1606356479999,2485638.68627,757,80.903,1515083.56272,0,1970-01-01 00:00:01.606356420
